Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-10 19:26:11.263374,30.59375,21.09375,21.6552734375,1008.28,-0.50048828125,1.798828125,0.86083984375,-74.6695970696,0.149938949939,-8.0967032967,-3.33404541016,-6.85119628906,-2.90679931641,49.28
2018-07-10 19:27:13.437654,30.59375,20.90625,21.6552734375,1008.32,-0.4775390625,1.72998046875,0.86669921875,-74.5196581197,0.299877899878,-8.54652014652,-2.13623046875,-2.67028808594,-1.54876708984,49.28
2018-07-10 19:28:15.467936,30.59375,21.125,21.6552734375,1008.23,-0.44873046875,1.7724609375,0.8369140625,-73.9199023199,-0.599755799756,-7.79682539683,-3.86810302734,-2.37274169922,-1.32751464844,49.28
2018-07-10 19:29:17.498245,30.53125,21.21875,21.6552734375,1008.26,-0.47119140625,1.7080078125,0.94873046875,-74.6695970696,-0.599755799756,-7.79682539683,-1.93786621094,-4.17327880859,-1.03759765625,49.04
2018-07-10 19:30:19.672524,30.46875,20.90625,21.6552734375,1008.24,-0.4931640625,1.83837890625,0.83935546875,-74.9694749695,-0.299877899878,-10.1958485958,-2.79998779297,-2.05993652344,-2.16674804688,48.96
2018-07-10 19:31:21.702780,30.4375,20.5625,21.6552734375,1008.3,-0.47705078125,1.830078125,0.91796875,-75.4192918193,1.19951159951,-7.94676434676,-2.67791748047,-3.14331054688,-3.04412841797,49.68
2018-07-10 19:32:24.009051,30.4375,21.0625,22.9248046875,1008.26,-0.49365234375,1.7763671875,0.95068359375,-72.7203907204,1.04957264957,-7.19706959707,-3.19671630859,-2.08282470703,-0.9765625,50.16
2018-07-10 19:33:26.043363,30.4375,21.09375,22.6318359375,1008.29,-0.447265625,1.76953125,1.005859375,-72.8703296703,-0.899633699634,-7.79682539683,-2.35748291016,-4.53186035156,-2.59399414062,50.56
2018-07-10 19:34:28.345637,30.4375,20.625,22.6318359375,1008.27,-0.4423828125,1.7255859375,0.9013671875,-72.8703296703,0.149938949939,-7.34700854701,-2.73132324219,-5.69915771484,-1.77764892578,50.8
2018-07-10 19:35:30.515885,30.46875,20.78125,22.3388671875,1008.26,-0.47705078125,1.70703125,0.93359375,-74.5196581197,-1.19951159951,-7.64688644689,-2.47192382812,-3.43322753906,-1.21307373047,51.04
